node_id,value,source_paper,context,confidence
evid_QIFVVUIH_ent.pku_dual_comb_microwave_sync_c24,60000000000.0,chen_z2024,"prop:instability",High
evid_K5JMAYPZ_ent.npl_ule_cavity_laser_sc21,70000000000.0,schioppo2021,"prop:instability_adev",High
evid_K5JMAYPZ_ent.npl_ule_cavity_laser_sc21,60000000000.0,schioppo2021,"prop:instability_mdev",High
evid_K5JMAYPZ_ent.npl_ule_cavity_laser_sc21,60000000000.0,schioppo2021,"def: NPL Teddington 超稳激光系统：48.5 cm 长 ULE 光学腔， 振动隔离主动改进后...",Med
evid_BWR7TEZ6_ent.optical_lattice_clock,50000000000.0,fortier2026,"prop:stability",High
evid_SE4C2RWR_ent.co2_machined_microrod_comb_p13b,50000000000.0,papp2013b,"prop:frep_stability",High
evid_H7A8L8LT_ent.compact_pmo_giunta20b,20000000000.0,giunta2020b,"prop:thermal_noise_floor",High
evid_NICHOLSON2015_ent.jila_sr_lattice_clock_n15,22000000000.0,nicholson2015,"prop:instability_1s",High
evid_J37V2ZZQ_ent.precision_frequency_transfer_system_f22,20000000000.0,fermann2022,"prop:noise_cancelled_transfer_stability",High
evid_J37V2ZZQ_ent.precision_frequency_transfer_system_f22,10000000000.0,fermann2022,"prop:single_branch_transfer_stability",High
evid_P92ZFIAQ_ent.freespace_tf_link_113km_sh22,40000000000.0,shen2022,"prop:instability_10ks",High
evid_P92ZFIAQ_ent.freespace_tf_link_113km_sh22,30000000000.0,shen2022,"prop:usl_instability",High
evid_RAC23NZV_ent.low_thermal_noise_cavity_j11,20000000000.0,jiang2011,"prop:thermal_noise_floor",High
evid_WHNQC4FV_ent.fiber_comb_microwave_cs_fountain_m09b,35000000000.0,millo2009b,"prop:fountain_clock_stability",High
evid_WHNQC4FV_ent.fiber_comb_microwave_cs_fountain_m09b,30000000000.0,millo2009b,"prop:microwave_stability",High
evid_ZSWYS26E_ent.multi_branch_er_comb_crds_r22,49500000000.0,rao2022,"prop:fceo_stability",High
evid_ZSWYS26E_ent.multi_branch_er_comb_crds_r22,58500000000.0,rao2022,"prop:frep_stability",High
evid_P7A5Z647_ent.npl_fiber_comb_transfer_system_m12,20000000000.0,marra2012,"prop:link_stability",High
evid_Z37PT8RC_ent.cubic_dual_cavity_c20,43000000000.0,chen2020,"prop:thermal_noise_floor",High
evid_WTUHUAQ7_ent.compact_transportable_cavity_c14,40000000000.0,chen2014,"prop:thermal_noise_floor",High
evid_AF34FGMU_ent.chip_photonic_mw_oscillator_k24,17000000000.0,kudelin2024,"prop:instability_1s",High
evid_X7XXKXDZ_ent.transportable_12cm_cavity_h20,28000000000.0,hafner2020,"prop:thermal_noise_floor",High
evid_JN8JY9XG_ent.rf_transfer_via_comb_50km_l16,47000000000.0,leng2016,"prop:instability_16400s",High
evid_JN8JY9XG_ent.rf_transfer_via_comb_50km_l16,19000000000.0,leng2016,"prop:instability_1s",High
evid_OELKER2019_ent.jila_dual_sr_clock_si_lo_o19,48000000000.0,oelker2019,"prop:instability_1s",High
evid_FIJXUVZV_ent.brewster_eom_t16,30000000000.0,tai2016,"prop:ram_freq_instability",High
evid_IUCMUIEI_ent.fpga_multiloop_autolock_xia25,15000000000.0,xia2025,"prop:instability_carrier_lock",High
evid_IUCMUIEI_ent.fpga_multiloop_autolock_xia25,25000000000.0,xia2025,"prop:instability_offset_lock",High
evid_U5C8AJYM_ent.dual_branch_er_comb_rolland18,30000000000.0,rolland2018,"prop:out_of_loop_stability",High
evid_U5C8AJYM_ent.dual_branch_er_comb_rolland18,60000000000.0,rolland2018,"prop:ultimate_limit",High
evid_ST825B59_ent.ntsc_all_pm_5branch_comb_n20,56000000000.0,ning2020,"prop:fceo_stability",High
evid_ST825B59_ent.ntsc_all_pm_5branch_comb_n20,18000000000.0,ning2020,"prop:frep_stability",High
evid_X6KNIXMW_ent.yb_fiber_comb_130w_cpa_l20,13500000000.0,luo2020,"prop:fceo_stability",High
evid_X6KNIXMW_ent.yb_fiber_comb_130w_cpa_l20,83000000000.0,luo2020,"prop:frep_stability",High
evid_BWR7TEZ6_ent.optical_frequency_standard,50000000000.0,fortier2026,"prop:best_instability",High
evid_bv4dl5z6_ent.uwa_265m_active_tiptilt_link_dm21,16000000000.0,dix-matthews2021_bv4dl5z6,"prop:fractional_instability",High
evid_cqtx6tyy_ent.ntsc_212km_cascaded_rf_link_q22,62000000000.0,quan2022_cqtx6tyy,"prop:instability",High
evid_592vc93u_ent.ntsc_56km_rf_precompensation_q21,18000000000.0,quan2021_592vc93u,"prop:instability",High
evid_imx242p7_ent.optical_to_microwave_photonic_synth_n20,10000000000.0,nakamura2020_imx242p7,"prop:fractional_instability",High
evid_RP8Q44RZ_ent.space_cavity_prototype_a12,40000000000.0,argence2012,"prop:thermal_noise_floor",High
evid_YKPFKDD9_ent.si_crystal_fp_cavity_k12,50000000000.0,kessler2012,"prop:predicted_noise_floor",High
evid_CDX3DFQR_ent.rb_atom_interferometer_o19,20000000000.0,olson2019,"prop:frequency_instability",High
evid_H93SHF89_ent.monolithic_erglass_comb_e18,10000000000.0,endo2018,"prop:free_running_instability",High
